Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
2017-18,17.9,29.5,60.8,3.2,7.6,41.4,2.9,6.4,45.8,5.9,14.0,42.0,5.0,12.1,41.3,5.9,16.3,36.2
2017-18,21.6,35.2,61.4,3.2,8.5,37.6,2.5,5.8,43.1,2.6,6.6,38.9,4.6,12.8,36.0,5.7,16.0,35.6
2017-18,21.6,34.7,62.2,3.2,8.5,37.5,2.1,6.1,34.5,3.0,7.6,39.3,4.2,11.5,36.4,6.7,19.5,34.1
2017-18,17.4,29.9,58.3,2.6,7.5,35.4,2.6,6.9,38.2,3.0,7.8,38.5,4.9,13.3,36.6,6.1,16.9,36.3
2017-18,18.3,29.7,61.5,3.2,8.1,39.5,2.6,6.8,38.4,2.8,7.5,37.8,5.7,15.2,37.4,6.2,17.5,35.4
2017-18,19.1,30.5,62.7,3.2,7.8,40.6,3.4,7.5,45.5,4.1,9.7,42.9,4.5,11.7,38.2,5.4,15.5,34.9
2017-18,18.0,28.1,64.0,5.1,11.6,43.6,4.1,9.2,44.3,4.1,10.5,39.1,5.5,13.7,40.2,4.2,12.2,34.2
2017-18,20.1,31.6,63.7,4.7,10.2,46.2,3.2,7.3,44.0,3.1,7.6,40.7,5.8,14.9,39.2,5.6,16.3,34.7
2017-18,17.6,28.9,60.9,3.9,9.3,41.7,4.4,9.9,44.4,4.4,11.1,39.7,5.2,12.7,40.5,5.2,15.2,34.3
2017-18,18.6,30.8,60.6,2.2,5.5,40.1,3.0,7.4,40.5,4.0,10.4,38.3,6.5,17.5,36.9,5.6,15.7,35.3
2017-18,17.8,28.1,63.3,3.6,9.5,37.9,2.7,7.5,35.7,3.2,8.3,39.0,4.4,11.8,37.1,7.0,20.1,35.0
2017-18,19.0,29.4,64.7,3.4,8.7,38.6,3.0,7.9,38.0,3.0,7.2,41.2,4.6,11.3,40.4,7.9,21.6,36.5
2017-18,18.7,31.7,58.9,3.1,8.2,37.3,3.5,8.6,40.9,3.1,8.1,38.3,4.6,13.2,35.0,5.5,16.7,32.8
2017-18,16.9,29.6,56.8,3.3,8.5,39.3,3.5,7.9,44.1,3.8,9.0,41.7,5.6,14.9,37.8,6.1,16.5,37.0
2017-18,15.6,26.3,59.4,4.8,12.2,39.0,3.1,8.0,38.7,4.6,11.5,40.3,5.8,14.6,39.9,4.8,13.0,37.2
2017-18,16.5,26.7,61.9,4.1,10.1,40.2,4.2,10.2,41.2,4.4,10.5,41.6,5.3,13.8,38.4,4.6,13.6,33.6
2017-18,19.7,31.1,63.4,3.4,8.3,40.6,3.0,7.1,42.2,2.7,6.2,44.0,5.5,14.7,37.5,6.9,19.3,35.5
2017-18,17.7,28.4,62.3,2.8,7.6,36.5,2.7,6.9,39.6,3.0,7.5,40.0,6.3,16.5,38.4,5.6,15.3,36.8
2017-18,15.9,25.6,62.1,3.7,8.8,42.5,4.2,9.7,43.4,4.9,11.6,42.1,4.5,11.9,38.2,6.6,17.5,37.5
2018-19,21.1,35.4,59.7,2.8,7.4,37.3,2.5,6.7,38.1,1.4,3.9,36.9,5.6,15.3,36.6,7.5,21.7,34.6
2018-19,17.6,28.1,62.6,3.2,7.7,41.8,3.8,8.7,43.3,3.9,8.8,43.9,5.2,14.7,35.6,8.3,22.1,37.4
2018-19,19.7,33.6,58.7,3.0,8.2,37.2,2.8,6.4,42.8,1.6,4.2,38.7,4.9,14.0,35.2,8.2,22.8,35.8
2018-19,18.3,31.7,57.8,3.6,9.1,40.1,2.6,6.0,43.2,2.9,6.8,41.9,5.2,13.5,38.3,7.6,21.9,34.5
2018-19,19.2,33.2,58.0,4.7,10.8,43.5,2.9,7.6,37.9,2.8,7.5,37.2,4.6,12.1,38.0,5.6,16.3,34.4
2018-19,17.0,29.3,58.1,3.9,10.0,38.7,3.4,8.3,40.8,3.3,8.2,40.5,4.6,12.4,37.3,6.5,18.8,34.9
2018-19,18.0,28.5,63.0,3.2,8.4,38.4,2.6,6.6,40.0,1.9,5.2,37.3,5.5,14.9,37.1,7.4,22.4,33.0
2018-19,19.6,32.3,60.7,4.6,10.9,42.4,3.6,7.8,45.8,2.4,6.0,40.4,6.4,16.8,38.2,5.2,15.8,33.2
2018-19,18.1,31.1,58.4,3.5,9.5,37.3,1.8,5.1,35.3,2.8,6.5,43.8,5.4,14.5,37.3,7.0,20.8,33.6
2018-19,17.4,26.1,66.7,2.5,5.9,42.4,4.3,9.2,46.5,5.5,11.2,48.8,5.4,13.0,41.7,8.7,23.1,37.5
